City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Faanui,PF,78.26,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Kuah,MY,81.68,overcast clouds,6.3265,99.8432,Azio Hotel
72,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
76,Luanda,AO,80.6,few clouds,-8.8368,13.2343,Hotel Fórum
78,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
79,Matamoros,MX,74.19,scattered clouds,25.5333,-103.25,Quinta Belem
81,Paka,MY,79.36,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
90,San Antonio,US,75.33,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
91,Pemangkat,ID,80.08,overcast clouds,1.1667,108.9667,Ramah Kost KITA
92,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
94,Nalbari,IN,71.58,scattered clouds,26.4456,91.4354,Ganesh Hotel
96,San Pedro,PH,81.32,clear sky,14.35,121.0167,Villa Veronica Resort Private Pool
97,Axim,GH,82.36,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
98,Maputo,MZ,73.22,clear sky,-25.9653,32.5892,Pestana Rovuma
100,Corn Island,NI,81.72,overcast clouds,12.1694,-83.0418,Big Fish Guest House
101,Hilo,US,80.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
108,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
109,Gat,IL,81.81,broken clouds,31.61,34.7642,OlusHome
110,Ponta Do Sol,PT,77.72,scattered clouds,32.6667,-17.1,Hotel do Campo
111,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
117,Ardakan,IR,70.05,clear sky,32.31,54.0175,Ardakan Hotel
123,Wewak,PG,79.16,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
