City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Turinskaya Sloboda,RU,2021-10-28 19:17:40,57.6232,64.3858,37.13,91,100,14.45
157,Upernavik,GL,2021-10-28 19:17:41,72.7868,-56.1549,19.42,58,91,4.83
158,Jennings,US,2021-10-28 19:17:41,38.7192,-90.2604,58.35,95,90,1.01
159,Camacha,PT,2021-10-28 19:17:41,33.0833,-16.3333,67.42,73,20,10.36
160,Aklavik,CA,2021-10-28 19:17:42,68.2191,-135.0107,27.43,96,81,5.19
161,Mount Isa,AU,2021-10-28 19:17:42,-20.7333,139.5,71.37,100,40,9.22
162,Lazarev,RU,2021-10-28 19:17:42,52.225,141.5131,35.42,76,1,3.11
163,Ushumun,RU,2021-10-28 19:17:43,52.7833,126.5333,32.31,82,50,3.42
164,Mayo,US,2021-10-28 19:17:43,38.8876,-76.5119,68.13,69,1,4.0
165,Tornio,FI,2021-10-28 19:17:44,65.8481,24.1466,41.02,96,100,14.2
166,Kolpashevo,RU,2021-10-28 19:17:44,58.3131,82.9089,32.85,64,100,15.3
167,Umm Lajj,SA,2021-10-28 19:17:45,25.0213,37.2685,81.99,55,0,4.45
168,Gravdal,NO,2021-10-28 19:17:45,68.1214,13.5031,48.09,81,75,12.66
169,Tuensang,IN,2021-10-28 19:17:45,26.2833,94.8333,62.78,93,84,1.99
170,Saint George,US,2021-10-28 19:15:27,37.1041,-113.5841,70.36,40,1,1.99
171,Daru,PG,2021-10-28 19:17:46,-9.0763,143.2092,79.75,82,100,10.83
172,Soyo,AO,2021-10-28 19:17:46,-6.1349,12.3689,77.23,79,3,11.07
173,Arlit,NE,2021-10-28 19:17:47,18.7369,7.3853,88.25,10,42,8.95
174,Jieshi,CN,2021-10-28 19:17:47,22.8134,115.8257,73.08,81,88,13.89
175,Cockburn Town,TC,2021-10-28 19:17:48,21.4612,-71.1419,82.62,68,0,2.26
176,Kyra,RU,2021-10-28 19:17:48,49.5776,111.9753,33.67,74,1,6.17
177,Ukiah,US,2021-10-28 19:14:14,39.1502,-123.2078,78.04,63,1,0.0
178,Devgarh,IN,2021-10-28 19:18:48,25.5333,73.9,68.32,34,0,2.51
179,Saint-Philippe,RE,2021-10-28 19:18:49,-21.3585,55.7679,74.79,78,2,9.13
180,Touros,BR,2021-10-28 19:18:06,-5.1989,-35.4608,85.1,60,87,17.72
181,Ust-Kulom,RU,2021-10-28 19:18:49,61.6864,53.6902,22.68,77,100,12.48
182,Narsaq,GL,2021-10-28 19:18:50,60.9167,-46.05,30.42,68,96,5.7
183,Srednekolymsk,RU,2021-10-28 19:18:50,67.45,153.6833,-9.87,99,54,1.95
184,San Quintin,MX,2021-10-28 19:18:51,30.4833,-115.95,75.87,36,0,5.97
185,Port Elizabeth,ZA,2021-10-28 19:18:46,-33.918,25.5701,70.11,94,90,4.61
186,Bambous Virieux,MU,2021-10-28 19:18:51,-20.3428,57.7575,75.22,83,20,9.22
187,Talara,PE,2021-10-28 19:18:52,-4.5772,-81.2719,74.16,68,0,19.57
188,Garowe,SO,2021-10-28 19:18:52,8.4054,48.4845,77.32,48,0,12.59
189,San Patricio,US,2021-10-28 19:18:53,28.017,-97.5169,85.98,15,0,18.86
190,Pacific Grove,US,2021-10-28 19:18:53,36.6177,-121.9166,79.57,62,1,5.01
191,Mahanoro,MG,2021-10-28 19:18:53,-19.9,48.8,67.69,89,100,12.57
192,Kahului,US,2021-10-28 19:17:10,20.8947,-156.47,80.62,74,20,13.8
193,Pandoh,IN,2021-10-28 19:18:54,31.6833,77.05,57.87,44,0,5.84
194,Sisimiut,GL,2021-10-28 19:18:54,66.9395,-53.6735,27.32,84,100,10.87
195,Batemans Bay,AU,2021-10-28 19:18:55,-35.7167,150.1833,63.1,60,1,5.68
196,Zhongshu,CN,2021-10-28 19:18:55,24.5167,103.7667,58.17,98,100,2.17
197,Lompoc,US,2021-10-28 19:18:56,34.6391,-120.4579,87.13,34,1,3.44
198,Kitimat,CA,2021-10-28 19:18:56,54.0524,-128.6534,42.91,28,100,1.36
199,Poum,NC,2021-10-28 19:18:56,-20.2333,164.0167,75.51,80,8,11.18
200,Gat,IL,2021-10-28 19:18:57,31.61,34.7642,77.4,29,67,5.1
