City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Cabo San Lucas,MX,22.8909,-109.9124,73.94,75,7,6.71,clear sky
149,Uromi,NG,6.7,6.3333,87.87,50,13,2.21,few clouds
150,Kampong Thum,KH,12.7111,104.8887,76.64,90,46,3.74,scattered clouds
151,Mount Gambier,AU,-37.8333,140.7667,44.51,93,11,5.75,few clouds
152,San Julian,MX,21.0167,-102.1667,65.88,61,16,0.78,few clouds
153,Chimbote,PE,-9.0853,-78.5783,69.84,68,13,7.87,few clouds
154,Paamiut,GL,61.994,-49.6678,33.75,95,100,6.42,overcast clouds
155,Georgetown,MY,5.4112,100.3354,82.35,80,20,1.01,light rain
156,Aboso,GH,5.3617,-1.9473,93.56,41,82,2.93,broken clouds
157,Mananjary,MG,-21.2167,48.3333,75.72,82,77,11.48,broken clouds
158,Oranjestad,AW,12.524,-70.027,82.35,83,75,9.22,broken clouds
159,Quatre Cocos,MU,-20.2078,57.7625,76.08,73,73,7.78,broken clouds
160,Sola,VU,-13.8833,167.55,80.37,76,25,13.0,scattered clouds
161,Victoria,HK,22.2855,114.1577,77.32,78,97,1.99,light rain
162,Port Hardy,CA,50.6996,-127.4199,44.6,93,1,2.3,clear sky
163,Crystal Beach,CA,42.8699,-79.0583,51.69,94,100,1.01,overcast clouds
164,Longyearbyen,SJ,78.2186,15.6401,30.04,69,40,13.8,scattered clouds
165,Nikolskoye,RU,59.7035,30.7861,48.87,83,60,8.03,broken clouds
166,Kulhudhuffushi,MV,6.6221,73.07,80.67,82,100,7.92,overcast clouds
167,Chandbali,IN,20.7833,86.7667,75.43,73,31,3.91,scattered clouds
168,Kachiry,KZ,53.0675,76.1036,27.97,74,33,13.29,scattered clouds
169,Chuy,UY,-33.6971,-53.4616,72.99,72,99,6.93,overcast clouds
170,Rio Tercero,AR,-32.173,-64.1141,69.98,53,95,15.32,light rain
171,Moengo,SR,5.6167,-54.4,83.48,77,73,3.98,broken clouds
172,Camopi,GF,3.1655,-52.3158,90.93,48,53,4.68,broken clouds
173,Le Robert,MQ,14.6775,-60.9392,86.05,62,0,18.41,clear sky
174,Mattru,SL,7.6244,-11.8332,91.62,50,48,1.45,light rain
175,Antsohihy,MG,-14.8796,47.9875,82.31,52,21,8.19,few clouds
176,Qui Nhon,VN,13.7667,109.2333,77.11,89,79,5.59,broken clouds
177,Dalvik,IS,65.9702,-18.5286,33.73,99,100,14.05,moderate rain
178,Tarakan,ID,3.3,117.6333,80.1,89,40,4.61,heavy intensity drizzle
179,Port Lincoln,AU,-34.7333,135.8667,58.55,74,2,10.76,clear sky
180,Norman Wells,CA,65.282,-126.8329,14.04,85,40,3.44,scattered clouds
181,Bulgan,MN,48.8125,103.5347,31.6,59,93,3.11,overcast clouds
182,Hasaki,JP,35.7333,140.8333,57.6,90,100,8.34,overcast clouds
183,Adrar,MR,20.5022,-10.0711,94.44,11,29,8.93,scattered clouds
184,Mujiayingzi,CN,42.1167,118.7833,36.1,74,68,0.92,broken clouds
185,Brae,GB,60.3964,-1.353,49.91,85,100,14.16,overcast clouds
186,Zhigansk,RU,66.7697,123.3711,11.5,93,100,24.07,light snow
187,Farafangana,MG,-22.8167,47.8333,74.5,84,59,13.35,broken clouds
188,Pisco,PE,-13.7,-76.2167,64.45,82,90,4.61,mist
189,Tobermory,CA,45.2501,-81.6665,46.31,73,24,17.07,few clouds
190,Yellowknife,CA,62.456,-114.3525,27.41,100,90,2.3,overcast clouds
191,Awbari,LY,26.5921,12.7805,82.83,18,25,4.94,scattered clouds
192,Bathsheba,BB,13.2167,-59.5167,84.81,61,20,17.27,few clouds
193,Khatanga,RU,71.9667,102.5,4.14,96,100,7.2,overcast clouds
194,Taybad,IR,34.74,60.7756,55.04,31,4,15.48,clear sky
195,Sechura,PE,-5.5569,-80.8222,73.09,60,19,3.67,few clouds
196,Lukulu,ZM,-14.3707,23.242,84.25,36,94,7.56,overcast clouds
197,Dickinson,US,29.4608,-95.0513,71.55,79,1,1.99,clear sky
198,Saint George,US,37.1041,-113.5841,63.54,76,1,0.0,clear sky
199,Cabedelo,BR,-6.9811,-34.8339,88.47,61,15,13.69,few clouds
200,Kruisfontein,ZA,-34.0033,24.7314,75.94,52,92,15.23,overcast clouds
201,Inuvik,CA,68.3499,-133.7218,29.16,77,90,10.36,overcast clouds
202,Sloboda,RU,51.1421,40.3021,47.59,60,0,4.0,clear sky
203,Luganville,VU,-15.5333,167.1667,77.27,79,19,4.16,few clouds
204,Tiksi,RU,71.6872,128.8694,13.06,84,100,12.44,overcast clouds
205,Asau,RO,46.4333,26.4,53.4,70,0,3.06,clear sky
206,Bhainsdehi,IN,21.6467,77.6325,61.48,55,69,2.64,broken clouds
207,Shimoda,JP,34.6667,138.95,59.11,87,96,8.79,overcast clouds
208,Pula,HR,44.8683,13.8481,64.96,59,20,4.61,few clouds
209,Chokurdakh,RU,70.6333,147.9167,-10.84,100,100,6.24,overcast clouds
210,Wuda,CN,39.4994,106.7117,43.07,37,19,6.2,few clouds
211,Hami,CN,42.8,93.45,51.58,41,37,5.53,scattered clouds
212,Jaru,BR,-10.4389,-62.4664,99.9,32,37,3.85,scattered clouds
213,Motygino,RU,58.1831,94.7592,27.88,96,100,2.66,light snow
214,Codrington,AU,-38.2667,141.9667,44.65,92,8,3.83,clear sky
215,Bartica,GY,6.4,-58.6167,88.12,80,87,2.44,overcast clouds
216,Ketchikan,US,55.3422,-131.6461,30.67,93,1,0.0,mist
217,Faya,SA,18.3851,42.4509,71.71,44,46,9.78,scattered clouds
218,Fivizzano,IT,44.2383,10.126,65.95,78,100,3.09,overcast clouds
219,Alta Floresta,BR,-9.8756,-56.0861,91.22,58,20,4.61,few clouds
220,La Romana,DO,18.4273,-68.9728,86.36,74,20,11.5,few clouds
221,Pevek,RU,69.7008,170.3133,-0.6,97,100,4.76,overcast clouds
222,Kayes,ML,14.0,-11.0,97.77,25,15,4.81,few clouds
223,Srednekolymsk,RU,67.45,153.6833,-1.55,98,99,6.67,overcast clouds
224,Anadyr,RU,64.75,177.4833,0.1,84,75,20.0,broken clouds
225,Luanda,AO,-8.8368,13.2343,80.6,74,40,16.11,scattered clouds
226,Mount Isa,AU,-20.7333,139.5,82.17,20,40,2.3,light rain
227,Semey,KZ,50.4111,80.2275,37.62,87,40,22.37,scattered clouds
228,Arkhara,RU,49.4212,130.0842,25.79,40,0,4.83,clear sky
229,Valdivia,CL,-39.8142,-73.2459,62.69,30,100,5.26,overcast clouds
230,Didwana,IN,27.4,74.5667,74.93,21,0,0.76,clear sky
231,Vila Velha,BR,-20.3297,-40.2925,76.95,83,90,9.22,overcast clouds
232,Spencer,US,43.1414,-95.1444,38.71,78,1,8.05,clear sky
233,Bugiri,UG,0.5714,33.7417,78.51,55,73,2.93,broken clouds
234,Batouri,CM,4.4333,14.3667,82.89,63,90,3.49,overcast clouds
235,Lufilufi,WS,-13.8745,-171.5986,81.21,75,97,16.44,overcast clouds
236,Riorges,FR,46.0418,4.0497,71.47,63,57,13.47,broken clouds
237,Dabakala,CI,8.3667,-4.4333,94.5,36,47,5.48,scattered clouds
238,Ha Tinh,VN,18.3333,105.9,71.38,95,85,5.12,overcast clouds
239,Gijon,ES,43.5357,-5.6615,59.25,83,100,5.99,overcast clouds
240,Lagoa,PT,39.05,-27.9833,69.15,89,100,13.24,overcast clouds
241,Machala,EC,-3.2667,-79.9667,73.71,94,90,2.3,light intensity drizzle
242,Cockburn Town,TC,21.4612,-71.1419,82.4,69,10,12.53,clear sky
243,Sitka,US,57.0531,-135.33,37.29,87,40,0.0,scattered clouds
244,Bonthe,SL,7.5264,-12.505,84.56,67,52,9.98,light rain
245,Leshukonskoye,RU,64.8989,45.7622,32.83,97,100,5.68,overcast clouds
246,Luang Prabang,LA,19.8856,102.1347,71.26,99,95,0.49,overcast clouds
247,Alta,NO,69.9689,23.2717,29.19,81,75,12.66,broken clouds
248,Hambantota,LK,6.1241,81.1185,80.35,81,49,3.62,scattered clouds
249,Sisimiut,GL,66.9395,-53.6735,34.84,88,100,25.79,light rain
250,Listvyagi,RU,53.6772,86.951,34.74,96,100,14.7,light rain
251,Qaqortoq,GL,60.7167,-46.0333,27.1,68,53,4.18,broken clouds
252,Mitake,JP,35.4167,137.1333,58.03,84,0,3.65,clear sky
253,Mlonggo,ID,-6.5333,110.7,77.52,77,49,3.4,light rain
254,Nosy Varika,MG,-20.5833,48.5333,75.79,82,40,10.33,scattered clouds
255,Saint-Augustin,CA,51.226,-58.6502,48.27,48,95,3.87,overcast clouds
256,Port-Cartier,CA,50.0334,-66.8654,45.75,95,100,17.47,overcast clouds
257,Otaru,JP,43.1894,141.0022,50.02,83,72,7.49,broken clouds
258,Ferme-Neuve,CA,46.7001,-75.4493,46.18,98,100,2.46,overcast clouds
259,Morros,BR,-9.4467,-46.3003,92.93,35,72,3.96,light rain
260,Gushikawa,JP,26.3544,127.8686,72.63,84,1,4.61,clear sky
261,Leh,IN,34.1667,77.5833,28.51,53,100,1.74,overcast clouds
262,Qaanaaq,GL,77.484,-69.3632,8.96,65,100,9.73,overcast clouds
263,Richards Bay,ZA,-28.783,32.0377,70.86,72,0,6.6,clear sky
264,Hervey Bay,AU,-25.2986,152.8535,70.03,68,87,21.52,overcast clouds
265,Nuoro,IT,40.3211,9.3297,58.26,97,100,1.48,light rain
266,Severo-Yeniseyskiy,RU,60.3725,93.0408,18.14,87,100,3.44,overcast clouds
267,Mirnyy,RU,62.5353,113.9611,14.29,80,12,9.06,few clouds
268,Sinazongwe,ZM,-17.2614,27.4618,93.52,33,34,4.74,scattered clouds
269,Dakar,SN,14.6937,-17.4441,94.08,74,0,6.91,clear sky
270,Daru,PG,-9.0763,143.2092,80.31,86,100,12.5,overcast clouds
271,Deniliquin,AU,-35.5333,144.9667,52.0,47,100,4.52,overcast clouds
272,Alekseyevka,RU,50.6309,38.6903,48.09,49,0,3.74,clear sky
273,Hobyo,SO,5.3505,48.5268,81.41,71,11,14.25,few clouds
274,Matara,LK,5.9485,80.5353,77.76,90,51,6.4,broken clouds
275,Senador Jose Porfirio,BR,-2.5908,-51.9542,90.54,51,49,2.37,scattered clouds
276,Namibe,AO,-15.1961,12.1522,73.49,63,39,15.73,scattered clouds
277,Peterborough,GB,52.5736,-0.2478,58.98,74,40,21.85,scattered clouds
278,Nizhniy Tsasuchey,RU,50.5167,115.1333,27.64,49,78,8.19,broken clouds
279,Flinders,AU,-34.5833,150.8552,57.79,78,15,1.01,few clouds
280,Muli,MV,2.9167,73.5667,83.64,73,16,17.65,few clouds
281,Alice Springs,AU,-23.7,133.8833,58.55,94,17,9.22,few clouds
282,Zhanaozen,KZ,43.3,52.8,53.53,43,1,10.2,clear sky
283,Owando,CG,-0.4819,15.8999,82.15,76,100,2.57,light rain
